Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Start Date,Winner,Series,Team,Opposition,Venue
AR Patel,2,2,17,1,94,1,94,5.52,102,0,0,25-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
Washington Sundar,1,1,10,0,65,1,65,6.5,60,0,0,13-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
HH Pandya,3,3,22.3,0,156,1,156,6.93,135,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
SN Thakur,1,1,10,0,51,1,51,5.1,60,0,0,17-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
DL Chahar,1,1,4,0,37,1,37,9.25,24,0,0,25-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
UT Yadav,2,2,20,0,142,1,142,7.1,120,0,0,21-Oct-18,India,"West Indies in India ODI Series, 2018/19",India,West Indies,HOME
STR Binny,1,1,4,0,22,0,,5.5,,0,0,28-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
V Kohli,4,1,1.1,0,6,0,,5.14,,0,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
AT Rayudu,4,2,4,0,26,0,,6.5,,0,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
RG Sharma,4,1,5,0,29,0,,5.8,,0,0,26-Feb-14,Sri Lanka,"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh), 2013/14",India,Misc,AWAY
RV Uthappa,3,1,0.2,0,0,0,,0,,0,0,15-Jun-14,India,"India in Bangladesh ODI Series, 2014",India,Bangladesh,AWAY
DS Kulkarni,1,1,7,0,35,0,,5,,0,0,02-Sep-14,India,"India in England ODI Series, 2014",India,England,AWAY
MM Sharma,2,2,9,1,35,0,,3.88,,0,0,27-Aug-14,India,"India in England ODI Series, 2014",India,England,AWAY
V Kohli,3,2,3,0,34,0,,11.33,,0,0,08-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
SK Raina,3,1,2,0,14,0,,7,,0,0,08-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
MM Sharma,1,1,9,0,61,0,,6.77,,0,0,08-Oct-14,India,"West Indies in India ODI Series, 2014/15",India,West Indies,HOME
VR Aaron,1,1,4.1,0,26,0,,6.24,,0,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
V Kohli,5,1,0.5,0,6,0,,7.2,,0,0,02-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
KV Sharma,2,2,19,1,125,0,,6.57,,0,0,13-Nov-14,India,"Sri Lanka in India ODI Series, 2014/15",India,Sri Lanka,HOME
RA Jadeja,2,1,9.5,0,62,0,,6.3,,0,0,26-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
SK Raina,4,2,3,0,31,0,,10.33,,0,0,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",India,Misc,AWAY
V Kohli,8,1,1,0,7,0,,7,,0,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
RG Sharma,8,1,3,0,21,0,,7,,0,0,15-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",India,Misc,AWAY
V Kohli,3,1,2,0,12,0,,6,,0,0,18-Jun-15,Bangladesh,"India in Bangladesh ODI Series, 2015",India,Bangladesh,AWAY
MK Tiwary,3,1,1,0,6,0,,6,,0,0,10-Jul-15,India,"India in Zimbabwe ODI Series, 2015",India,Zimbabwe,AWAY
STR Binny,1,1,8,0,63,0,,7.87,,0,0,11-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
V Kohli,5,2,2.2,0,15,0,,6.42,,0,0,11-Oct-15,South Africa,"South Africa in India ODI Series, 2015/16",India,South Africa,HOME
Gurkeerat Singh,3,3,10,0,68,0,,6.8,,0,0,17-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
V Kohli,5,2,3,0,20,0,,6.66,,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
B Kumar,2,2,17,0,111,0,,6.52,,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
RG Sharma,5,1,1,0,11,0,,11,,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",India,Australia,AWAY
KM Jadhav,3,2,9,0,68,0,,7.55,,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
Yuvraj Singh,3,2,5,0,31,0,,6.2,,0,0,15-Jan-17,India,"England in India ODI Series, 2016/17",India,England,HOME
V Kohli,5,1,3,0,17,0,,5.66,,0,0,04-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",India,Misc,AWAY
RA Jadeja,2,2,20,1,75,0,,3.75,,0,0,02-Jul-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
Yuvraj Singh,3,1,5,0,25,0,,5,,0,0,23-Jun-17,India,"India in West Indies ODI Series, 2017",India,West Indies,AWAY
V Kohli,5,1,2,0,12,0,,6,,0,0,20-Aug-17,India,"India in Sri Lanka ODI Series, 2017",India,Sri Lanka,AWAY
Mohammed Shami,1,1,10,1,62,0,,6.2,,0,0,28-Sep-17,India,"Australia in India ODI Series, 2017/18",India,Australia,HOME
KM Jadhav,3,2,16,0,85,0,,5.31,,0,0,22-Oct-17,India,"New Zealand in India ODI Series, 2017/18",India,New Zealand,HOME
SS Iyer,3,1,1,0,2,0,,2,,0,0,10-Dec-17,India,"Sri Lanka in India ODI Series, 2017/18",India,Sri Lanka,HOME
KM Jadhav,3,2,6,0,30,0,,5,,0,0,01-Feb-18,India,"India in South Africa ODI Series, 2017/18",India,South Africa,AWAY
S Kaul,2,2,18,0,121,0,,6.72,,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
B Kumar,1,1,7,0,49,0,,7,,0,0,17-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
SK Raina,3,3,7,1,42,0,,6,,0,0,12-Jul-18,England,"India in England ODI Series, 2018",India,England,AWAY
S Kaul,1,1,9,0,58,0,,6.44,,0,0,25-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
HH Pandya,1,1,4.5,0,24,0,,4.96,,0,0,19-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
AT Rayudu,6,1,0.1,0,0,0,,0,,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
SN Thakur,1,1,4,0,41,0,,10.25,,0,0,18-Sep-18,India,"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",India,Misc,AWAY
KK Ahmed,1,1,8,0,55,0,,6.87,,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
KM Jadhav,1,1,6,0,35,0,,5.83,,0,0,18-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
Mohammed Siraj,1,1,10,0,76,0,,7.6,,0,0,15-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
AT Rayudu,2,1,2,0,13,0,,6.5,,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
V Shankar,1,1,6,0,23,0,,3.83,,0,0,18-Jan-19,India,"India in Australia ODI Series, 2018/19",India,Australia,AWAY
KK Ahmed,1,1,3,0,19,0,,6.33,,0,0,31-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
V Shankar,3,3,10,0,55,0,,5.5,,0,0,23-Jan-19,India,"India in New Zealand ODI Series, 2018/19",India,New Zealand,AWAY
MA Starc,8,8,63.5,3,224,22,10.18,3.5,17.4,1,1,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MG Johnson,8,8,63.3,2,326,15,21.73,5.13,25.4,1,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MA Starc,5,5,39.5,2,196,12,16.33,4.92,19.9,1,1,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
PJ Cummins,5,5,44,2,236,12,19.66,5.36,22,2,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
MA Starc,5,5,48.5,2,218,12,18.16,4.46,24.4,0,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
JR Hazlewood,7,6,51.2,7,221,11,20.09,4.3,28,0,1,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
JP Faulkner,6,6,41.5,2,197,10,19.7,4.7,25.1,0,0,04-Mar-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
JW Hastings,4,4,38,1,215,10,21.5,5.65,22.8,1,0,15-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
A Zampa,5,5,42.3,0,224,10,22.4,5.27,25.5,0,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
JP Faulkner,5,5,45.2,1,196,10,19.6,4.32,27.2,1,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
NM Coulter-Nile,5,5,49,0,251,10,25.1,5.12,29.4,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
JR Hazlewood,4,4,38.1,3,184,9,20.44,4.82,25.4,0,1,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
JW Hastings,3,3,27,2,116,9,12.88,4.29,18,0,1,28-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
A Zampa,5,5,41,0,187,9,20.77,4.56,27.3,0,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
MA Starc,4,4,34.1,2,163,9,18.11,4.77,22.7,1,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
JR Hazlewood,3,3,28,0,142,9,15.77,5.07,18.6,0,1,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
MR Marsh,5,5,33,1,193,8,24.12,5.84,24.7,1,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
MA Starc,5,5,38,1,171,8,21.37,4.5,28.5,0,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
PJ Cummins,3,3,24.1,0,129,8,16.12,5.33,18.1,1,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
AJ Tye,4,4,36.3,0,169,8,21.12,4.63,27.3,0,1,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
MP Stoinis,3,3,21.2,1,121,8,15.12,5.67,16,0,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
NM Lyon,4,4,37,3,180,7,25.71,4.86,31.7,1,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
JR Hazlewood,5,5,42.5,5,176,7,25.14,4.1,36.7,1,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
JR Hazlewood,3,3,30,1,174,7,24.85,5.8,25.7,0,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
MR Marsh,3,3,19,0,99,7,14.14,5.21,16.2,0,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
CP Tremain,4,4,40,0,255,7,36.42,6.37,34.2,0,0,02-Oct-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
PJ Cummins,5,5,46.4,2,228,7,32.57,4.88,40,0,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
JP Faulkner,4,4,35,1,189,7,27,5.4,30,1,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
JR Hazlewood,4,4,38.5,2,192,7,27.42,4.94,33.2,0,0,15-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
KW Richardson,3,3,28.5,0,158,7,22.57,5.47,24.7,0,0,21-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
PJ Cummins,3,3,30,3,154,7,22,5.13,25.7,1,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
MA Starc,4,4,39,0,256,7,36.57,6.56,33.4,1,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
MA Starc,5,5,36,5,200,6,33.33,5.55,36,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
MG Johnson,2,2,17,1,64,6,10.66,3.76,17,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
JP Faulkner,5,5,33.3,2,182,6,30.33,5.43,33.5,0,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
GJ Maxwell,8,8,38,1,218,6,36.33,5.73,38,0,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MA Starc,1,1,9,0,28,6,4.66,3.11,9,0,1,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
GJ Maxwell,5,4,36,0,183,6,30.5,5.08,36,0,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
KW Richardson,3,3,28,2,177,6,29.5,6.32,28,0,1,15-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JR Hazlewood,3,3,26,2,113,6,18.83,4.34,26,0,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
MA Starc,3,3,27,4,123,6,20.5,4.55,27,0,0,04-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
KW Richardson,3,3,26,1,156,6,26,6,26,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
B Stanlake,4,4,36,2,207,6,34.5,5.75,36,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
JA Richardson,3,3,30,3,112,6,18.66,3.73,30,1,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
NM Coulter-Nile,3,3,19,0,118,5,23.6,6.21,22.8,1,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
PJ Cummins,2,2,19,0,115,5,23,6.05,22.8,0,0,21-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
MA Starc,3,3,28,2,132,5,26.4,4.71,33.6,1,0,19-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
GJ Maxwell,5,4,20,0,119,5,23.8,5.95,24,1,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
PJ Cummins,2,2,13.1,1,80,5,16,6.07,15.8,0,0,28-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MR Marsh,3,3,13,0,69,5,13.8,5.3,15.6,0,1,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
MA Starc,4,4,36,1,213,5,42.6,5.91,43.2,0,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
JP Faulkner,5,5,47,0,289,5,57.8,6.14,56.4,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
NM Coulter-Nile,3,3,27.4,2,151,5,30.2,5.45,33.2,0,0,07-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
SM Boland,3,3,27,2,171,5,34.2,6.33,32.4,0,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
JW Hastings,4,4,31,0,215,5,43,6.93,37.2,0,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
MA Starc,3,3,27.3,2,133,5,26.6,4.83,33,1,0,02-Jun-17,Pakistan,"ICC Champions Trophy (in England), 2017",Australia,Misc,AWAY
JR Hazlewood,3,3,29,0,148,5,29.6,5.1,34.8,0,0,21-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
JA Richardson,3,3,27,1,214,5,42.8,7.92,32.4,0,0,16-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
MG Johnson,4,4,34.5,3,152,4,38,4.36,52.2,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
GJ Maxwell,5,4,17,0,95,4,23.75,5.58,25.5,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
SPD Smith,4,3,8.3,0,45,4,11.25,5.29,12.7,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
GJ Maxwell,3,3,17,2,89,4,22.25,5.23,25.5,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
KW Richardson,3,3,26,1,101,4,25.25,3.88,39,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
GJ Maxwell,4,4,25.1,0,125,4,31.25,4.96,37.7,0,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
SM Boland,2,2,19,0,120,4,30,6.31,28.5,0,0,06-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
NM Lyon,2,2,20,2,79,4,19.75,3.95,30,0,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
MR Marsh,7,6,39,2,173,4,43.25,4.43,58.5,0,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
MR Marsh,5,5,40,0,270,4,67.5,6.75,60,0,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
JP Faulkner,2,2,15.2,0,95,4,23.75,6.19,23,0,0,06-Dec-16,Australia,"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",Australia,New Zealand,HOME
TM Head,5,5,34.4,0,195,4,48.75,5.62,52,0,0,13-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
A Zampa,2,2,19,0,116,4,29,6.1,28.5,0,0,22-Jan-17,Australia,"Pakistan in Australia ODI Series, 2016/17",Australia,Pakistan,HOME
JP Faulkner,2,2,15,0,88,4,22,5.86,22.5,0,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
MA Starc,2,2,20,1,121,4,30.25,6.05,30,0,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
PJ Cummins,5,5,47,3,220,4,55,4.68,70.5,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
A Zampa,3,3,27,0,188,4,47,6.96,40.5,0,0,17-Sep-17,India,"Australia in India ODI Series, 2017/18",Australia,India,AWAY
AC Agar,5,5,42,2,232,4,58,5.52,63,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
AJ Tye,3,3,28,1,223,4,55.75,7.96,42,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
MA Starc,3,3,28,2,155,4,38.75,5.53,42,0,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
MP Stoinis,3,3,28.2,0,172,4,43,6.07,42.5,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
MR Marsh,5,5,24,1,112,3,37.33,4.66,48,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
KW Richardson,3,3,23,2,134,3,44.66,5.82,46,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
XJ Doherty,2,2,20,1,98,3,32.66,4.9,40,0,0,10-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
JP Faulkner,3,3,19,0,99,3,33,5.21,38,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
NM Lyon,2,2,20,2,73,3,24.33,3.65,40,0,0,07-Oct-14,Australia,"Pakistan v Australia ODI Series (in United Arab Emirates), 2014/15",Australia,Pakistan,AWAY
JP Faulkner,2,2,18,0,96,3,32,5.33,36,0,0,21-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
MG Johnson,2,2,18,2,85,3,28.33,4.72,36,0,0,14-Nov-14,Australia,"South Africa in Australia ODI Series, 2014/15",Australia,South Africa,HOME
MG Johnson,1,1,7,2,27,3,9,3.85,14,0,0,01-Feb-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
GS Sandhu,2,2,20,0,107,3,35.66,5.35,40,0,0,18-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
NM Coulter-Nile,1,1,4.4,0,13,3,4.33,2.78,9.3,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
NM Coulter-Nile,2,2,16,2,89,3,29.66,5.56,32,0,0,03-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
JW Hastings,2,2,16.2,2,77,3,25.66,4.71,32.6,0,0,11-Sep-15,Australia,"Australia in England ODI Series, 2015",Australia,England,AWAY
MR Marsh,4,4,30,0,197,3,65.66,6.56,60,0,0,12-Jan-16,Australia,"India in Australia ODI Series, 2015/16",Australia,India,HOME
JW Hastings,3,3,27.3,1,123,3,41,4.47,55,0,0,03-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
A Zampa,2,2,20,0,102,3,34,5.1,40,0,0,06-Feb-16,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2015/16",Australia,New Zealand,AWAY
JP Faulkner,4,3,23,0,119,3,39.66,5.17,46,0,0,11-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
GJ Maxwell,5,3,7,1,28,3,9.33,4,14,0,0,05-Jun-16,Australia,"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",Australia,Misc,AWAY
TM Head,5,4,15,0,86,3,28.66,5.73,30,0,0,21-Aug-16,Australia,"Australia in Sri Lanka ODI Series, 2016",Australia,Sri Lanka,AWAY
A Zampa,1,1,10,1,37,3,12.33,3.7,20,0,0,27-Sep-16,Australia,"Australia v Ireland ODI Match (in South Africa), 2016/17",Australia,Ireland,AWAY
JM Mennie,2,2,20,2,131,3,43.66,6.55,40,0,0,02-Oct-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
A Zampa,5,5,31.5,1,218,3,72.66,6.84,63.6,0,0,30-Sep-16,South Africa,"Australia in South Africa ODI Series, 2016/17",Australia,South Africa,AWAY
PJ Cummins,2,2,19,0,114,3,38,6,38,0,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
JR Hazlewood,2,2,20,0,92,3,30.66,4.6,40,0,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
MP Stoinis,2,2,14,0,71,3,23.66,5.07,28,0,0,30-Jan-17,New Zealand,"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",Australia,New Zealand,AWAY
MR Marsh,5,5,18,1,81,3,27,4.5,36,0,0,14-Jan-18,England,"England in Australia ODI Series, 2017/18",Australia,England,HOME
MP Stoinis,5,4,32.3,0,223,3,74.33,6.86,65,0,0,13-Jun-18,England,"Australia in England ODI Series, 2018",Australia,England,AWAY
JR Hazlewood,3,3,28,3,136,3,45.33,4.85,56,0,0,04-Nov-18,South Africa,"South Africa in Australia ODI Series, 2018/19",Australia,South Africa,HOME
JP Behrendorff,2,2,18.2,3,91,3,30.33,4.96,36.6,0,0,12-Jan-19,India,"India in Australia ODI Series, 2018/19",Australia,India,HOME
JP Faulkner,4,4,29.4,0,160,2,80,5.39,89,0,0,25-Aug-14,South Africa,"Zimbabwe Triangular Series (Australia, South Africa, Zimbabwe), 2014",Australia,Misc,AWAY
PJ Cummins,3,3,29,1,168,2,84,5.79,87,0,0,16-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
JR Hazlewood,2,2,11.1,2,38,2,19,3.4,33.5,0,0,26-Jan-15,Australia,"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia), 2014/15",Australia,Misc,HOME
SR Watson,7,6,26,0,171,2,85.5,6.57,78,0,0,14-Feb-15,Australia,"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",Australia,Misc,HOME
PJ Cummins,1,1,6.1,0,38,2,19,6.16,18.5,0,0,28-Feb-15,New Zealand,"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",Australia,New Zealand,AWAY
PJ Cummins,1,1,5,0,19,2,9.5,3.8,15,0,0,27-Aug-15,Australia,"Australia in Ireland ODI Match, 2015",Australia,Ireland,AWAY
